company,job_title,linkedin_job_id,location,posted_on,posted_date,Seniority level,Employment type
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",2024-07-31,31-07-2024,,
Microsoft,SOFTWARE ENGINEER,view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,,
Microsoft,Applied Sciences IC2,view,"Bengaluru, Karnataka, India",2024-07-30,30-07-2024,,
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",2024-07-31,31-07-2024,,
Microsoft,Software Engineer,view,"Bengaluru, Karnataka, India",2024-07-30,30-07-2024,,
Microsoft,Software Engineer,view,"Bengaluru, Karnataka, India",2024-08-01,01-08-2024,,
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",2024-08-07,07-08-2024,,
Microsoft,Software Engineer,view,"Pune, Maharashtra, India",2024-08-09,09-08-2024,,
Microsoft,Software Engineer,view,"Bengaluru, Karnataka, India",2024-07-23,23-07-2024,,
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",2024-07-31,31-07-2024,,
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",2024-07-31,31-07-2024,,
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",2024-07-31,31-07-2024,,
Microsoft,Software Engineer,view,"Bengaluru, Karnataka, India",2024-08-04,04-08-2024,,
Microsoft,Business Manager,view,"Noida, Uttar Pradesh, India",2024-08-07,07-08-2024,,
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",2024-07-31,31-07-2024,,
Microsoft,Software Engineer,view,"Bengaluru, Karnataka, India",2024-08-02,02-08-2024,,
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",2024-07-31,31-07-2024,,
Microsoft,Customer Success Account Manager,view,Mumbai Metropolitan Region,2024-07-25,25-07-2024,,
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",2024-08-01,01-08-2024,,
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",2024-07-31,31-07-2024,,
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",2024-08-07,07-08-2024,,
Microsoft,Senior HR Business Partner,view,"Hyderabad, Telangana, India",2024-07-26,26-07-2024,,
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",2024-07-31,31-07-2024,,
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",2024-07-31,31-07-2024,,
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",2024-07-31,31-07-2024,,
Microsoft,Software Engineer - Backend,view,"Hyderabad, Telangana, India",2024-07-29,29-07-2024,,
Microsoft,Digital Specialist – Support Solution (India),view,"Gurgaon, Haryana, India",2024-08-01,01-08-2024,,
Microsoft,Designer II,view,"Bengaluru, Karnataka, India",2024-07-31,31-07-2024,,
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",2024-07-31,31-07-2024,,
Microsoft,Demand Planning,view,"Hyderabad, Telangana, India",2024-08-07,07-08-2024,,
Microsoft,Designer 2,view,"Hyderabad, Telangana, India",2024-08-02,02-08-2024,,
Microsoft,Software Engineer,view,"Bengaluru, Karnataka, India",2024-08-05,05-08-2024,,
Microsoft,Software Engineer,view,"Noida, Uttar Pradesh, India",2024-08-09,09-08-2024,,
Microsoft,Software Engineer,view,"Bengaluru, Karnataka, India",2024-07-23,23-07-2024,,
Microsoft,Sales Leader - Application Development,view,"Delhi, India",2024-07-25,25-07-2024,,
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",2024-07-31,31-07-2024,,
Microsoft,Technical Support Engineering,view,"Bengaluru, Karnataka, India",2024-07-24,24-07-2024,,
Microsoft,Account Management - Edtech,view,"Gurgaon, Haryana, India",2024-07-22,22-07-2024,,
Microsoft,Sales Leader - Application Development,view,"Uttar Pradesh, India",2024-07-25,25-07-2024,,
Microsoft,Sales Leader - Application Development,view,"Haryana, India",2024-07-25,25-07-2024,,
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",2024-07-31,31-07-2024,,
Microsoft,Technical Support Engineering,view,"Bengaluru, Karnataka, India",2024-07-30,30-07-2024,,
Microsoft,Sr. Business Analyst,view,"Hyderabad, Telangana, India",2024-07-26,26-07-2024,,
Microsoft,Software Engineer,view,"Noida, Uttar Pradesh, India",2024-07-31,31-07-2024,,
Microsoft,Strategic Sales Business Development Manager,view,"Bengaluru, Karnataka, India",2024-08-01,01-08-2024,,
Microsoft,Technical Support Engineering,view,"Noida, Uttar Pradesh, India",2024-07-30,30-07-2024,,
Microsoft,Technical Support Engineering,view,"Maharashtra, India",2024-07-28,28-07-2024,,
Microsoft,Technical Support Engineering,view,"Bengaluru, Karnataka, India",2024-07-22,22-07-2024,,
Microsoft,Data Center Technician,view,"Hyderabad, Telangana, India",2024-07-31,31-07-2024,,
Microsoft,Technical Support Engineering,view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,,
Microsoft,Technical Customer Success Account Manager,view,Mumbai Metropolitan Region,2024-08-09,09-08-2024,,
Microsoft,Technical Support Engineering,view,"Hyderabad, Telangana, India",2024-07-30,30-07-2024,,
Microsoft,Technical Support Engineering,view,"Bengaluru, Karnataka, India",2024-08-03,03-08-2024,,
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",2024-08-09,09-08-2024,,
Microsoft,Technical Support Engineering,view,"Delhi, India",2024-07-28,28-07-2024,,
Microsoft,Technical Support Engineering,view,"Uttar Pradesh, India",2024-07-28,28-07-2024,,
Microsoft,Technical Support Engineering,view,"Bengaluru, Karnataka, India",2024-08-04,04-08-2024,,
Microsoft,Software Engineering,view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,,
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",2024-07-31,31-07-2024,,
Microsoft,Software Engineer - Backend,view,"Hyderabad, Telangana, India",2024-07-29,29-07-2024,,
Microsoft,Digital Specialist – Support Solution (India),view,"Gurgaon, Haryana, India",2024-08-01,01-08-2024,,
Microsoft,Designer II,view,"Bengaluru, Karnataka, India",2024-07-31,31-07-2024,,
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",2024-07-31,31-07-2024,,
Microsoft,Demand Planning,view,"Hyderabad, Telangana, India",2024-08-07,07-08-2024,,
Microsoft,Designer 2,view,"Hyderabad, Telangana, India",2024-08-02,02-08-2024,,
Microsoft,Software Engineer,view,"Bengaluru, Karnataka, India",2024-08-05,05-08-2024,,
Microsoft,Software Engineer,view,"Noida, Uttar Pradesh, India",2024-08-09,09-08-2024,,
Microsoft,Data Center Technician,view,"Hyderabad, Telangana, India",2024-07-31,31-07-2024,,
Microsoft,Technical Support Engineering,view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,,
Microsoft,Technical Customer Success Account Manager,view,Mumbai Metropolitan Region,2024-08-09,09-08-2024,,
Microsoft,Technical Support Engineering,view,"Hyderabad, Telangana, India",2024-07-30,30-07-2024,,
Microsoft,Technical Support Engineering,view,"Bengaluru, Karnataka, India",2024-08-03,03-08-2024,,
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",2024-08-09,09-08-2024,,
Microsoft,Technical Support Engineering,view,"Delhi, India",2024-07-28,28-07-2024,,
Microsoft,Technical Support Engineering,view,"Uttar Pradesh, India",2024-07-28,28-07-2024,,
Microsoft,Technical Support Engineering,view,"Bengaluru, Karnataka, India",2024-08-04,04-08-2024,,
Microsoft,Software Engineering,view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,,
Microsoft,Product Manager 2,view,"Hyderabad, Telangana, India",2024-07-24,24-07-2024,,
Microsoft,Content Designer II,view,"Hyderabad, Telangana, India",2024-08-04,04-08-2024,,
Microsoft,Technical Support Engineering,view,"Telangana, India",2024-07-28,28-07-2024,,
Microsoft,Sales Leader - Application Development,view,"Karnataka, India",2024-07-25,25-07-2024,,
Microsoft,Technical Support Engineering,view,"Himachal Pradesh, India",2024-07-28,28-07-2024,,
Microsoft,Strategic Business Development Manager - Partnership,view,"Bengaluru, Karnataka, India",2024-08-01,01-08-2024,,
Microsoft,Software Engineer II,view,"Bengaluru, Karnataka, India",2024-08-07,07-08-2024,,
Microsoft,Software Engineer 2,view,"Hyderabad, Telangana, India",2024-07-25,25-07-2024,,
Microsoft,Software Engineer 2,view,"Noida, Uttar Pradesh, India",2024-08-03,03-08-2024,,
Microsoft,Technical Support Engineering,view,"Bengaluru, Karnataka, India",2024-08-01,01-08-2024,,
Google,Digital Marketing Strategist,view,"Gurugram, Haryana, India",2024-08-03,03-08-2024,,
Google,"Software Engineer, University Graduate, 2025",view,"Bengaluru, Karnataka, India",2024-07-31,31-07-2024,,
Google,"Software Engineer, University Graduate, 2025",view,Mumbai Metropolitan Region,2024-07-31,31-07-2024,,
Google,Marketing Category Manager,view,"Gurgaon, Haryana, India",2024-08-08,08-08-2024,,
Google,Technical Recruiter,view,"Bengaluru, Karnataka, India",2024-07-24,24-07-2024,,
Google,"Software Engineer, University Graduate, 2025",view,"Gurgaon, Haryana, India",2024-07-31,31-07-2024,,
Google,"Software Engineer, University Graduate, 2025",view,"Hyderabad, Telangana, India",2024-07-31,31-07-2024,,
Google,"Software Engineer, University Graduate, 2025",view,"Pune, Maharashtra, India",2024-07-31,31-07-2024,,
Google,Technical Recruiter,view,"Hyderabad, Telangana, India",2024-07-24,24-07-2024,,
Google,Executive Recruiter,view,"Gurugram, Haryana, India",2024-08-05,05-08-2024,,
Google,Data Analyst,view,"Hyderabad, Telangana, India",2024-08-10,10-08-2024,,
Google,Marketing Category Manager,view,"Bengaluru, Karnataka, India",2024-08-02,02-08-2024,,
Google,"Product Specialist, Product and Sales Activation",view,"Gurugram, Haryana, India",2024-08-09,09-08-2024,,
Google,Digital Marketing Strategist,view,"Hyderabad, Telangana, India",2024-08-03,03-08-2024,,
Google,Executive Recruiter,view,"Bengaluru, Karnataka, India",2024-08-05,05-08-2024,,
Google,"Business Development Consultant, New Business Sales",view,"Gurugram, Haryana, India",2024-08-09,09-08-2024,,
Google,"Software Engineer, Core",view,"Bengaluru, Karnataka, India",2024-07-24,24-07-2024,,
Google,Executive Recruiter,view,"Hyderabad, Telangana, India",2024-08-05,05-08-2024,,
Google,"Software Engineer, Core",view,"Hyderabad, Telangana, India",2024-08-03,03-08-2024,,
Google,"Administrative Business Partner, Search Platforms",view,"Bengaluru, Karnataka, India",2024-08-05,05-08-2024,,
Google,"Marketing Analytics Manager, Ads Marketing",view,"Gurugram, Haryana, India",2024-08-06,06-08-2024,,
Google,"Accountant, Platforms and Ecosystems",view,"Hyderabad, Telangana, India",2024-08-09,09-08-2024,,
Google,"Account Manager, Ad Sales",view,"Gurgaon, Haryana, India",2024-08-04,04-08-2024,,
Google,"Media lead, Marketing",view,"Gurgaon, Haryana, India",2024-08-05,05-08-2024,,
Google,"Embedded Software Engineer, University Graduate, 2025",view,"Bengaluru, Karnataka, India",2024-08-02,02-08-2024,,
Google,"Growth Manager, AppDev (English, Hindi)",view,"Gurugram, Haryana, India",2024-07-26,26-07-2024,,
Google,Internal Communications Specialist,view,"Gurugram, Haryana, India",2024-08-09,09-08-2024,,
Google,"Software Engineer, Google Ads",view,"Bengaluru, Karnataka, India",2024-07-31,31-07-2024,,
Google,"Account Strategist, Mid-Market Sales, Google Customer Solutions",view,"Gurugram, Haryana, India",2024-08-01,01-08-2024,,
Google,"Account Strategist, Mid-Market Sales, Google Customer Solutions",view,Mumbai Metropolitan Region,2024-08-01,01-08-2024,,
Google,"Product Manager, Customer Engagement",view,"Hyderabad, Telangana, India",2024-07-26,26-07-2024,,
